datetime                     lane speed  length  class   gap   wrong_dir  display  flash
Tue Aug 29 15:12:32 CEST 2017  2     54    45      2    496      00         0    
Tue Aug 29 15:12:32 CEST 2017  2     51    44      2    480      00         0    
Tue Aug 29 15:12:33 CEST 2017  1     50    49      2    1696      00         0    
Tue Aug 29 15:12:33 CEST 2017  2     52    44      2    536      00         0    
Tue Aug 29 15:12:35 CEST 2017  2     45    48      2    1088      00         0    
Tue Aug 29 15:12:36 CEST 2017  1     43    46      2    2352      00         0    
Tue Aug 29 15:12:37 CEST 2017  2     45    49      2    1088      00         0    
Tue Aug 29 15:12:41 CEST 2017  2     37    70      4    2928      00         0    
Tue Aug 29 15:12:41 CEST 2017  1     60    47      2    5240      00         0    
Tue Aug 29 15:12:42 CEST 2017  2     35    51      2    800      00         0    
Tue Aug 29 15:12:44 CEST 2017  2     31    46      2    784      00         0    
Tue Aug 29 15:12:45 CEST 2017  1     51    43      2    3536      00         0    
Thu Aug 31 01:20:45 CEST 2017  2     86    47      2    65535      00         0    
Thu Aug 31 01:21:37 CEST 2017  1     46    38      2    65535      00         0    
Thu Aug 31 01:21:49 CEST 2017  1     50    52      2    12208      00         0    
Thu Aug 31 01:23:10 CEST 2017  1     47    47      2    65535      00         0    
Fri Sep 01 10:50:17 CEST 2017  2     49    41      2    32936      00         0    
Fri Sep 01 10:50:19 CEST 2017  2     50    47      2    1368      00         0    
Fri Sep 01 10:50:19 CEST 2017  1     53    53      2    23032      00         0    
Fri Sep 01 10:50:20 CEST 2017  2     46    43      2    1112      00         0    
Fri Sep 01 10:50:21 CEST 2017  2     47    42      2    664      00         0    
Fri Sep 01 10:50:23 CEST 2017  2     45    40      2    680      00         0    
Fri Sep 01 10:50:23 CEST 2017  2     42    38      2    416      00         0    
Fri Sep 01 10:50:25 CEST 2017  2     44    54      2    976      00         0    
Fri Sep 01 10:50:26 CEST 2017  1     47    71      7    6496      00         0    
Fri Sep 01 10:50:27 CEST 2017  2     44    42      2    1592      00         0    
Fri Sep 01 10:50:29 CEST 2017  2     42    51      2    1000      00         0    
Fri Sep 01 10:50:30 CEST 2017  2     43    47      2    584      00         0    
Fri Sep 01 10:50:32 CEST 2017  2     42    40      2    1656      00         0    
Fri Sep 01 10:50:33 CEST 2017  2     44    48      2    736      00         0    
Fri Sep 01 10:50:36 CEST 2017  2     45    52      2    2584      00         0    
Fri Sep 01 10:50:45 CEST 2017  1     55    45      2    18528      00         0    
Fri Sep 01 10:50:51 CEST 2017  1     46    44      2    5680      00         0    
Fri Sep 01 10:50:53 CEST 2017  1     46    45      2    1176      00         0    
Fri Sep 01 10:50:54 CEST 2017  1     47    47      2    1352      00         0    
Fri Sep 01 10:50:59 CEST 2017  1     47    43      2    4056      00         0    
Fri Sep 01 10:51:00 CEST 2017  1     47    47      2    1000      00         0    
Fri Sep 01 10:51:03 CEST 2017  1     45    51      2    1784      00         0    
Fri Sep 01 10:51:07 CEST 2017  1     42    39      2    4200      00         0    
Fri Sep 01 10:51:09 CEST 2017  1     41    58      4    440      00         0    
Fri Sep 01 10:51:12 CEST 2017  1     44    48      2    2640      00         0    
Fri Sep 01 10:51:14 CEST 2017  1     42    50      2    1376      00         0    
Fri Sep 01 10:51:14 CEST 2017  2     52    68      4    37104      00         0    
Fri Sep 01 10:51:15 CEST 2017  2     53    50      2    840      00         0    
Fri Sep 01 10:51:18 CEST 2017  2     52    51      2    1848      00         0    
Fri Sep 01 10:51:23 CEST 2017  1     69    52      2    8584      00         0    
Fri Sep 01 10:51:25 CEST 2017  2     51    66      4    6720      00         0    
Fri Sep 01 10:51:27 CEST 2017  1     54    41      2    4184      00         0    
Fri Sep 01 10:51:28 CEST 2017  2     41    48      2    2168      00         0    
Fri Sep 01 10:51:29 CEST 2017  1     56    48      2    1680      00         0    
Fri Sep 01 10:51:34 CEST 2017  2     51    48      2    5560      00         0    
Fri Sep 01 10:51:36 CEST 2017  2     52    41      2    1720      00         0    
Fri Sep 01 10:51:37 CEST 2017  2     53    41      2    488      00         0    
Fri Sep 01 10:51:38 CEST 2017  2     53    42      2    1264      00         0    
Fri Sep 01 10:51:40 CEST 2017  2     48    48      2    856      00         0    
Fri Sep 01 10:51:41 CEST 2017  2     48    42      2    1088      00         0    
Fri Sep 01 10:51:45 CEST 2017  1     47    43      2    15072      00         0    
Fri Sep 01 10:51:54 CEST 2017  2     53    49      2    11944      00         0    
Fri Sep 01 10:51:59 CEST 2017  2     52    58      4    4856      00         0    
Fri Sep 01 10:52:24 CEST 2017  1     64    47      2    38496      00         0    
Fri Sep 01 10:52:34 CEST 2017  1     45    46      2    9640      00         0    
Fri Sep 01 10:52:36 CEST 2017  1     48    47      2    1888      00         0    
Fri Sep 01 10:52:40 CEST 2017  1     48    46      2    2992      00         0    
Fri Sep 01 10:52:41 CEST 2017  1     48    40      2    1080      00         0    
Fri Sep 01 10:52:47 CEST 2017  1     46    38      2    5024      00         0    
Fri Sep 01 10:52:47 CEST 2017  2     56    58      4    47560      00         0    
Fri Sep 01 10:52:48 CEST 2017  1     45    54      2    656      00         0    
Fri Sep 01 10:52:48 CEST 2017  2     58    56      2    912      00         0    
Fri Sep 01 10:52:51 CEST 2017  2     54    48      2    2576      00         0    
Fri Sep 01 10:52:55 CEST 2017  1     45    63      4    6472      00         0    
Fri Sep 01 10:52:57 CEST 2017  1     42    49      2    1432      00         0    
Fri Sep 01 10:52:59 CEST 2017  1     44    53      2    1752      00         0    
Fri Sep 01 10:53:00 CEST 2017  2     53    40      2    7816      00         0    
Fri Sep 01 10:53:01 CEST 2017  2     50    44      2    832      00         0    
Fri Sep 01 10:53:01 CEST 2017  1     41    43      2    1208      00         0    
Fri Sep 01 06:30:03 CEST 2017  2     60    51      2    18144      00         0    
Fri Sep 01 06:30:13 CEST 2017  2     47    40      2    8728      00         0    
Fri Sep 01 06:30:14 CEST 2017  2     52    44      2    1520      00         0    
Fri Sep 01 06:30:16 CEST 2017  2     57    41      2    1432      00         0    
Fri Sep 01 06:30:18 CEST 2017  2     53    47      2    1112      00         0    
Fri Sep 01 06:30:20 CEST 2017  2     56    46      2    1200      00         0    
Fri Sep 01 06:30:22 CEST 2017  2     55    53      2    1896      00         0    
Fri Sep 01 06:30:25 CEST 2017  2     55    50      2    2344      00         0    
Fri Sep 01 06:30:27 CEST 2017  2     56    58      4    1824      00         0    
Fri Sep 01 06:30:29 CEST 2017  2     54    51      2    1664      00         0    
Fri Sep 01 06:30:30 CEST 2017  2     53    48      2    656      00         0    
Fri Sep 01 06:30:33 CEST 2017  2     40    37      2    2208      00         0    
Fri Sep 01 06:30:34 CEST 2017  2     37    51      2    832      00         0    
Fri Sep 01 06:30:36 CEST 2017  2     35    39      2    640      00         0    
Fri Sep 01 06:30:39 CEST 2017  2     37    44      2    3136      00         0    
Fri Sep 01 06:30:42 CEST 2017  2     35    67      4    1352      00         0    
Fri Sep 01 06:30:43 CEST 2017  2     34    59      4    1088      00         0    
Fri Sep 01 06:30:48 CEST 2017  2     57    49      2    4680      00         0    
Fri Sep 01 06:30:51 CEST 2017  1     52    45      2    65535      00         0    
Fri Sep 01 06:30:54 CEST 2017  2     52    43      2    4480      00         0    
Fri Sep 01 06:30:57 CEST 2017  2     62    45      2    2864      00         0    
Fri Sep 01 06:31:22 CEST 2017  1     41  118        8    29096      00         0    
Fri Sep 01 06:31:23 CEST 2017  1     42    43      2    624      00         0    
Fri Sep 01 06:31:24 CEST 2017  1     41    48      2    624      00         0    
Fri Sep 01 06:31:26 CEST 2017  1     39    42      2    1400      00         0    
Fri Sep 01 06:31:28 CEST 2017  1     39    45      2    2024      00         0    
Fri Sep 01 06:31:31 CEST 2017  1     46    47      2    2128      00         0    
Fri Sep 01 06:31:34 CEST 2017  1     48    48      2    2528      00         0    
Fri Sep 01 06:31:35 CEST 2017  2     56    50      2    37664      00         0    
Fri Sep 01 06:31:35 CEST 2017  1     50    50      2    816      00         0    
Fri Sep 01 06:32:11 CEST 2017  2     56    41      2    35936      00         0    
Fri Sep 01 06:32:13 CEST 2017  2     56    47      2    968      00         0    
Fri Sep 01 06:32:18 CEST 2017  2     54    44      2    4736      00         0    
Fri Sep 01 06:32:19 CEST 2017  2     52    43      2    1136      00         0    
Fri Sep 01 06:32:20 CEST 2017  2     51    55      2    496      00         0    
Fri Sep 01 06:32:21 CEST 2017  2     49    51      2    632      00         0    
Fri Sep 01 06:32:23 CEST 2017  1     49    42      2    47664      00         0    
Fri Sep 01 06:32:25 CEST 2017  2     44    41      2    3040      00         0    
Fri Sep 01 06:32:31 CEST 2017  2     47    46      2    5792      00         0    
Fri Sep 01 06:32:35 CEST 2017  2     47    55      2    3784      00         0    
Thu Aug 31 16:20:03 CEST 2017  2     45    48      2    65535      00         0    
Thu Aug 31 16:20:04 CEST 2017  1     48    47      2    8592      00         0    
Thu Aug 31 16:20:05 CEST 2017  2     47    52      2    2088      00         0    
Thu Aug 31 16:20:07 CEST 2017  2     47    52      2    1872      00         0    
Thu Aug 31 16:20:08 CEST 2017  1     50    49      2    3136      00         0    
Thu Aug 31 16:20:09 CEST 2017  2     42    42      2    1632      00         0    
Thu Aug 31 16:20:11 CEST 2017  1     49    50      2    2376      00         0    
Thu Aug 31 16:20:11 CEST 2017  2     39    46      2    640      00         0    
Thu Aug 31 16:20:12 CEST 2017  1     46    70      3    760      00         0    
Thu Aug 31 16:20:13 CEST 2017  2     39    41      2    1584      00         0    
Thu Aug 31 16:20:13 CEST 2017  1     45    48      2    968      00         0    
Thu Aug 31 16:20:15 CEST 2017  2     37    89      3    680      00         0    
Thu Aug 31 16:20:16 CEST 2017  1     50    49      2    1832      00         0    
Thu Aug 31 16:20:16 CEST 2017  2     37    45      2    584      00         0    
Thu Aug 31 16:20:17 CEST 2017  2     34    77      7    400      00         0    
Thu Aug 31 16:20:17 CEST 2017  1     56    47      2    1040      00         0    
Thu Aug 31 16:20:19 CEST 2017  2     36    44      2    936      00         0    
Thu Aug 31 16:20:20 CEST 2017  1     55    42      2    2648      00         0    
Thu Aug 31 16:20:20 CEST 2017  2     33    49      2    736      00         0    
Thu Aug 31 16:20:22 CEST 2017  2     33    43      2    512      00         0    
Thu Aug 31 16:20:24 CEST 2017  2     31    69      3    1872      00         0    
Thu Aug 31 16:20:25 CEST 2017  1     50    72      7    3848      00         0    
Thu Aug 31 16:20:26 CEST 2017  2     31    48      2    880      00         0    
Thu Aug 31 16:20:28 CEST 2017  2     27    49      2    792      00         0    
Thu Aug 31 16:20:28 CEST 2017  1     51    42      2    2832      00         0    
Thu Aug 31 16:20:29 CEST 2017  1     49    52      2    632      00         0    
Thu Aug 31 16:20:34 CEST 2017  2     51    53      2    5624      00         0    
Thu Aug 31 16:20:35 CEST 2017  2     53    45      2    816      00         0    
Thu Aug 31 16:20:36 CEST 2017  1     48    38      2    6040      00         0    
Thu Aug 31 16:20:40 CEST 2017  2     42    47      2    4560      00         0    
Thu Aug 31 16:20:42 CEST 2017  2     42    9      1    1488      00         0    
Thu Aug 31 16:20:42 CEST 2017  1     48    50      2    5840      00         0    
Thu Aug 31 16:20:43 CEST 2017  2     41    43      2    528      00         0    
Thu Aug 31 16:20:44 CEST 2017  1     48    43      2    1544      00         0    
Thu Aug 31 16:20:44 CEST 2017  2     43    43      2    984      00         0    
Thu Aug 31 16:20:47 CEST 2017  1     45    42      2    2224      00         0    
Thu Aug 31 16:20:50 CEST 2017  1     47    49      2    2536      00         0    
Thu Aug 31 16:20:52 CEST 2017  1     46    37      2    1536      00         0    
Thu Aug 31 16:20:56 CEST 2017  1     44    42      2    4024      00         0    
Thu Aug 31 16:21:19 CEST 2017  1     48    50      2    22336      00         0    
Thu Aug 31 16:21:22 CEST 2017  1     52    45      2    2440      00         0    
Thu Aug 31 16:21:26 CEST 2017  1     32    49      2    3488      00         0    
Thu Aug 31 16:21:29 CEST 2017  1     28    52      2    1912      00         0    
Thu Aug 31 16:21:31 CEST 2017  1     25    45      2    1416      00         0    
Thu Aug 31 16:21:33 CEST 2017  1     23    45      2    728      00         0    
Thu Aug 31 16:21:38 CEST 2017  1     45    39      2    4160      00         0    
Thu Aug 31 16:21:43 CEST 2017  1     48    46      2    4968      00         0    
Thu Aug 31 16:21:46 CEST 2017  1     47    40      2    2248      00         0    
Thu Aug 31 16:21:48 CEST 2017  1     48    47      2    1952      00         0    
Thu Aug 31 16:21:49 CEST 2017  2     49    47      2    64536      00         0    
Thu Aug 31 16:21:50 CEST 2017  1     48    50      2    1400      00         0    
Thu Aug 31 16:21:52 CEST 2017  1     39    38      2    1072      00         0    
Thu Aug 31 16:21:53 CEST 2017  1     41    48      2    800      00         0    
Thu Aug 31 16:21:55 CEST 2017  2     54    58      4    5312      00         0    
Thu Aug 31 16:21:55 CEST 2017  1     40    41      2    1512      00         0    
Thu Aug 31 16:21:57 CEST 2017  2     52    44      2    1800      00         0    
Thu Aug 31 16:21:59 CEST 2017  2     47    47      2    1560      00         0    
Thu Aug 31 16:22:01 CEST 2017  2     45    48      2    800      00         0    
Thu Aug 31 16:22:02 CEST 2017  2     42    47      2    960      00         0    
Thu Aug 31 16:22:04 CEST 2017  2     38    48      2    688      00         0    
Thu Aug 31 16:22:04 CEST 2017  1     50    55      2    8944      00         0    
Thu Aug 31 16:22:05 CEST 2017  2     36    43      2    848      00         0    
Thu Aug 31 16:22:07 CEST 2017  2     33    57      2    1368      00         0    
Thu Aug 31 16:22:08 CEST 2017  1     46    49      2    2888      00         0    
Thu Aug 31 16:22:08 CEST 2017  2     33    39      2    384      00         0    
Thu Aug 31 16:22:11 CEST 2017  1     45    51      2    2896      00         0    
Thu Aug 31 16:22:12 CEST 2017  2     46    45      2    2992      00         0    
Thu Aug 31 16:22:15 CEST 2017  1     44    43      2    3240      00         0    
Thu Aug 31 16:22:17 CEST 2017  1     49    41      2    1336      00         0    
Thu Aug 31 16:22:18 CEST 2017  1     53    46      2    1104      00         0    
Thu Aug 31 16:22:22 CEST 2017  2     52    42      2    10208      00         0    
Thu Aug 31 16:22:24 CEST 2017  2     54    40      2    1848      00         0    
Thu Aug 31 16:22:27 CEST 2017  1     45    39      2    8096      00         0    
Thu Aug 31 16:22:30 CEST 2017  1     47    40      2    2536      00         0    
Thu Aug 31 16:22:34 CEST 2017  1     56  104        9    3080      00         0    
Thu Aug 31 16:22:34 CEST 2017  2     56    46      2    9280      00         0    
Thu Aug 31 16:22:36 CEST 2017  1     54    47      2    1704      00         0    
Thu Aug 31 16:22:41 CEST 2017  1     51    41      2    4312      00         0    
Thu Aug 31 16:22:43 CEST 2017  1     49    49      2    1280      00         0    
Thu Aug 31 16:22:44 CEST 2017  1     50    44      2    752      00         0    
Thu Aug 31 16:22:53 CEST 2017  1     51    46      2    9344      00         0    
Thu Aug 31 16:22:57 CEST 2017  1     49    62      4    2736      00         0    
Thu Aug 31 16:23:02 CEST 2017  1     52    50      2    4304      00         0    
Thu Aug 31 16:23:06 CEST 2017  1     49    36      2    3896      00         0    
Thu Aug 31 16:23:12 CEST 2017  1     45    48      2    5960      00         0    
Thu Aug 31 16:23:14 CEST 2017  1     44    43      2    936      00         0    
Thu Aug 31 16:23:16 CEST 2017  1     47    50      2    1888      00         0    
Thu Aug 31 16:23:19 CEST 2017  1     49    41      2    2704      00         0    
Thu Aug 31 16:23:23 CEST 2017  1     48    48      2    3080      00         0    
Thu Aug 31 16:23:27 CEST 2017  1     50    43      2    3448      00         0    
Thu Aug 31 16:23:29 CEST 2017  1     50    34      2    2264      00         0    
Thu Aug 31 16:23:31 CEST 2017  1     46    46      2    1344      00         0    
Thu Aug 31 16:23:37 CEST 2017  2     52    47      2    62080      00         0    
Thu Aug 31 16:23:38 CEST 2017  2     47    45      2    1256      00         0    
Thu Aug 31 16:23:38 CEST 2017  1     44    53      4    6552      00         0    
Thu Aug 31 16:23:39 CEST 2017  2     47    47      2    656      00         0    
Thu Aug 31 16:23:40 CEST 2017  1     41    52      2    1264      00         0    
Thu Aug 31 16:23:41 CEST 2017  1     42    9      1    432      00         0    
Thu Aug 31 16:23:41 CEST 2017  2     42    37      2    1112      00         0    
Thu Aug 31 16:23:42 CEST 2017  2     40    46      2    744      00         0    
Thu Aug 31 16:23:43 CEST 2017  2     39    46      2    528      00         0    
Thu Aug 31 16:23:44 CEST 2017  1     39    49      2    2176      00         0    
Thu Aug 31 16:23:45 CEST 2017  2     38    54      4    440      00         0    
Thu Aug 31 16:23:46 CEST 2017  1     39    12      1    1608      00         0    
Thu Aug 31 16:23:47 CEST 2017  2     38    52      2    1232      00         0    
Thu Aug 31 16:23:48 CEST 2017  1     48    39      2    1832      00         0    
Thu Aug 31 16:23:49 CEST 2017  2     39    49      2    1416      00         0    
Thu Aug 31 16:23:49 CEST 2017  2     39    44      2    432      00         0    
Thu Aug 31 16:23:50 CEST 2017  1     44    40      2    1880      00         0    
Thu Aug 31 16:23:51 CEST 2017  2     34    43      2    704      00         0    
Thu Aug 31 16:23:53 CEST 2017  1     46    51      2    1904      00         0    
Thu Aug 31 16:23:53 CEST 2017  2     37    52      2    1112      00         0    
Thu Aug 31 16:23:54 CEST 2017  1     44    43      2    1320      00         0    
Thu Aug 31 16:23:55 CEST 2017  2     34    59      4    1872      00         0    
Sat Sep 02 13:20:04 CEST 2017  1     62    43      2    8328      00         0    
Sat Sep 02 13:20:05 CEST 2017  2     58    49      2    16360      00         0    
Thu Aug 31 11:30:00 CEST 2017  1     46    66      4    704      00         0    
Thu Aug 31 11:30:03 CEST 2017  1     49    46      2    3088      00         0    
Thu Aug 31 11:30:06 CEST 2017  1     46    66      4    1728      00         0    
Tue Aug 29 13:00:00 CEST 2017  2     49    44      2    4120      00         0    
Tue Aug 29 13:00:02 CEST 2017  2     54    39      2    2160      00         0    
Tue Aug 29 13:00:04 CEST 2017  2     47    38      2    1456      00         0    
Tue Aug 29 13:00:05 CEST 2017  2     48    50      2    968      00         0    
Tue Aug 29 13:00:05 CEST 2017  1     51    41      2    7376      00         0    
Tue Aug 29 13:00:07 CEST 2017  2     46    47      2    896      00         0    
Tue Aug 29 13:00:07 CEST 2017  1     48    46      2    1016      00         0    
Tue Aug 29 13:00:09 CEST 2017  2     37    61      4    1216      00         0    
Tue Aug 29 13:00:11 CEST 2017  1     50    40      2    3768      00         0    
Tue Aug 29 13:00:11 CEST 2017  2     37    50      2    1504      00         0    
Tue Aug 29 13:00:13 CEST 2017  2     39    50      2    896      00         0    
Tue Aug 29 13:00:13 CEST 2017  1     47    42      2    1992      00         0    
Tue Aug 29 13:00:17 CEST 2017  1     48    51      2    2536      00         0    
Tue Aug 29 13:00:32 CEST 2017  1     53    52      2    15416      00         0    
Tue Aug 29 13:00:39 CEST 2017  1     55    39      2    6344      00         0    
Tue Aug 29 13:00:58 CEST 2017  2     49    39      2    45216      00         0    
Tue Aug 29 13:01:00 CEST 2017  1     46  155        9    19208      00         0    
Tue Aug 29 13:01:00 CEST 2017  2     53    44      2    1504      00         0    
Tue Aug 29 13:01:01 CEST 2017  1     46    48      2    1104      00         0    
Tue Aug 29 13:01:02 CEST 2017  2     50    50      2    1448      00         0    
Tue Aug 29 13:01:03 CEST 2017  2     48    52      2    864      00         0    
Tue Aug 29 13:01:04 CEST 2017  1     47    57      2    1880      00         0    
Tue Aug 29 13:01:04 CEST 2017  2     46    39      2    688      00         0    
Tue Aug 29 13:01:06 CEST 2017  1     56    43      2    1984      00         0    
Tue Aug 29 13:01:07 CEST 2017  2     42    92      7    1824      00         0    
Tue Aug 29 13:01:09 CEST 2017  2     41    53      2    784      00         0    
Tue Aug 29 13:01:10 CEST 2017  2     40  126        5    440      00         0    
Tue Aug 29 13:01:11 CEST 2017  2     40    42      2    480      00         0    
Tue Aug 29 13:01:12 CEST 2017  1     50    79      3    5376      00         0    
Tue Aug 29 13:01:13 CEST 2017  2     40    41      2    1120      00         0    
Tue Aug 29 13:01:15 CEST 2017  2     39    47      2    1432      00         0    
Tue Aug 29 13:01:17 CEST 2017  1     48    44      2    4712      00         0    
Tue Aug 29 13:01:26 CEST 2017  1     55    68      4    8024      00         0    
Tue Aug 29 13:01:27 CEST 2017  2     48    41      2    11624      00         0    
Tue Aug 29 13:01:39 CEST 2017  1     56    43      2    12448      00         0    
Tue Aug 29 13:01:47 CEST 2017  1     48    47      2    7960      00         0    
Tue Aug 29 13:01:49 CEST 2017  1     45    47      2    1192      00         0    
Tue Aug 29 13:01:52 CEST 2017  2     45    47      2    24088      00         0    
Tue Aug 29 13:01:53 CEST 2017  1     49    38      2    4168      00         0    
Tue Aug 29 13:01:53 CEST 2017  2     48    49      2    1256      00         0    
Tue Aug 29 13:01:55 CEST 2017  1     50    39      2    1344      00         0    
Tue Aug 29 13:01:56 CEST 2017  2     43    48      2    1680      00         0    
Tue Aug 29 13:01:57 CEST 2017  2     41    39      2    952      00         0    
Tue Aug 29 13:01:59 CEST 2017  1     50    44      2    2960      00         0    
Tue Aug 29 13:02:01 CEST 2017  2     41    64      4    2744      00         0    
Tue Aug 29 13:02:03 CEST 2017  2     45    44      2    1640      00         0    
Tue Aug 29 13:02:03 CEST 2017  1     67    67      4    3840      00         0    
Tue Aug 29 13:02:06 CEST 2017  2     49    40      2    2776      00         0    
Tue Aug 29 13:02:07 CEST 2017  2     49    46      2    680      00         0    
Tue Aug 29 13:02:09 CEST 2017  2     46    44      2    1384      00         0    
Tue Aug 29 13:02:11 CEST 2017  2     44    38      2    1536      00         0    
Tue Aug 29 13:02:12 CEST 2017  2     38    48      2    1016      00         0    
Tue Aug 29 13:02:14 CEST 2017  1     53    47      2    10888      00         0    
Tue Aug 29 13:02:15 CEST 2017  2     38    65      4    1696      00         0    
Tue Aug 29 13:02:17 CEST 2017  2     40    50      2    1024      00         0    
Tue Aug 29 13:02:18 CEST 2017  2     45    39      2    1152      00         0    
Tue Aug 29 13:02:20 CEST 2017  2     46    35      2    1008      00         0    
Tue Aug 29 13:02:21 CEST 2017  1     56    52      2    6064      00         0    
Tue Aug 29 13:02:24 CEST 2017  1     57    45      2    2592      00         0    
Tue Aug 29 13:02:24 CEST 2017  2     57    49      2    4336      00         0    
Tue Aug 29 13:02:29 CEST 2017  1     51    39      2    4416      00         0    
Wed Aug 30 17:50:07 CEST 2017  2     52    49      2    29936      00         0    
Wed Aug 30 17:50:08 CEST 2017  1     43    42      2    12072      00         0    
Wed Aug 30 17:50:14 CEST 2017  2     63    66      4    6400      00         0    
Wed Aug 30 17:50:15 CEST 2017  1     41    46      2    7160      00         0    
Wed Aug 30 17:50:17 CEST 2017  2     50    43      2    2320      00         0    
Wed Aug 30 17:50:18 CEST 2017  2     52    37      2    1200      00         0    
Wed Aug 30 17:50:20 CEST 2017  2     47    48      2    1248      00         0    
Wed Aug 30 17:50:21 CEST 2017  2     46    49      2    976      00         0    
Wed Aug 30 17:50:23 CEST 2017  2     48    42      2    1248      00         0    
Wed Aug 30 17:50:25 CEST 2017  2     45    40      2    1080      00         0    
Wed Aug 30 17:50:26 CEST 2017  1     42    48      2    10448      00         0    
Wed Aug 30 17:50:26 CEST 2017  2     41    41      2    1176      00         0    
Wed Aug 30 17:50:28 CEST 2017  2     39    45      2    1024      00         0    
Wed Aug 30 17:50:29 CEST 2017  1     44    51      2    1728      00         0    
Wed Aug 30 17:50:29 CEST 2017  2     40    39      2    744      00         0    
Wed Aug 30 17:50:30 CEST 2017  2     36    37      2    464      00         0    
Wed Aug 30 17:50:31 CEST 2017  1     45    41      2    2320      00         0    
Wed Aug 30 17:50:33 CEST 2017  2     38    46      2    1872      00         0    
Wed Aug 30 17:50:34 CEST 2017  1     42    43      2    2432      00         0    
Wed Aug 30 17:50:35 CEST 2017  2     35    47      2    1280      00         0    
Wed Aug 30 17:50:37 CEST 2017  1     46    52      2    2224      00         0    
Wed Aug 30 17:50:41 CEST 2017  2     48    48      2    5456      00         0    
Wed Aug 30 17:50:43 CEST 2017  1     55    43      2    5192      00         0    
Wed Aug 30 17:50:43 CEST 2017  2     50    39      2    2248      00         0    
Wed Aug 30 17:50:46 CEST 2017  2     48    49      2    2200      00         0    
Wed Aug 30 17:50:50 CEST 2017  1     54    39      2    6552      00         0    
Fri Sep 01 06:40:00 CEST 2017  2     53    49      2    1240      00         0    
Fri Sep 01 06:40:00 CEST 2017  1     52    39      2    36440      00         0    
Fri Sep 01 06:40:02 CEST 2017  2     58    42      2    808      00         0    
Fri Sep 01 06:40:03 CEST 2017  2     60    52      2    1416      00         0    
Fri Sep 01 06:40:08 CEST 2017  1     60    60      4    7520      00         0    
Fri Sep 01 06:40:09 CEST 2017  2     55    42      2    5824      00         0    
Fri Sep 01 06:40:12 CEST 2017  2     51    59      4    1520      00         0    
Fri Sep 01 06:40:14 CEST 2017  2     44    45      2    1568      00         0    
Fri Sep 01 06:40:15 CEST 2017  2     44    41      2    896      00         0    
Fri Sep 01 06:40:17 CEST 2017  2     41    39      2    1264      00         0    
Fri Sep 01 06:40:18 CEST 2017  2     38    41      2    1000      00         0    
Fri Sep 01 06:40:20 CEST 2017  2     36    49      2    704      00         0    
Fri Sep 01 06:40:21 CEST 2017  1     47    10      1    12072      00         0    
Fri Sep 01 06:40:21 CEST 2017  2     31    38      2    712      00         0    
Fri Sep 01 06:40:23 CEST 2017  2     32    38      2    800      00         0    
Fri Sep 01 06:40:24 CEST 2017  2     31    58      4    520      00         0    
Fri Sep 01 06:40:26 CEST 2017  2     30    64      4    864      00         0    
Fri Sep 01 06:40:28 CEST 2017  2     29    50      2    1352      00         0    
Fri Sep 01 06:40:29 CEST 2017  2     29    39      2    456      00         0    
Fri Sep 01 06:40:33 CEST 2017  2     34    53      4    3032      00         0    
Fri Sep 01 06:40:35 CEST 2017  2     35    40      2    1872      00         0    
Fri Sep 01 06:40:40 CEST 2017  1     50    39      2    18848      00         0    
Fri Sep 01 06:40:43 CEST 2017  1     48    47      2    2400      00         0    
Fri Sep 01 06:40:45 CEST 2017  1     51    48      2    1768      00         0    
Fri Sep 01 06:40:46 CEST 2017  1     51    45      2    704      00         0    
Fri Sep 01 06:40:48 CEST 2017  1     47    45      2    1768      00         0    
Fri Sep 01 06:40:52 CEST 2017  1     43    60      4    2704      00         0    
Fri Sep 01 06:41:07 CEST 2017  2     55    48      2    31016      00         0    
Fri Sep 01 06:41:11 CEST 2017  1     52    49      2    19272      00         0    
Fri Sep 01 06:41:12 CEST 2017  2     56    50      2    5088      00         0    
Fri Sep 01 06:41:13 CEST 2017  2     59    41      2    792      00         0    
Fri Sep 01 06:41:18 CEST 2017  2     40  106        7    3336      00         0    
Fri Sep 01 06:41:19 CEST 2017  2     39    40      2    824      00         0    
Fri Sep 01 06:41:20 CEST 2017  2     41    43      2    648      00         0    
Fri Sep 01 06:41:22 CEST 2017  2     37    49      2    616      00         0    
Fri Sep 01 06:41:22 CEST 2017  1     52    48      2    10424      00         0    
Fri Sep 01 06:41:24 CEST 2017  2     36    47      2    1824      00         0    
Fri Sep 01 06:41:25 CEST 2017  1     45    54      2    1648      00         0    
Fri Sep 01 06:41:25 CEST 2017  2     35    36      2    856      00         0    
Fri Sep 01 06:41:28 CEST 2017  2     33  106        7    1048      00         0    
Fri Sep 01 06:41:30 CEST 2017  2     32    45      2    936      00         0    
Fri Sep 01 06:41:31 CEST 2017  2     34    77      3    712      00         0    
Fri Sep 01 06:41:33 CEST 2017  2     34    38      2    992      00         0    
Fri Sep 01 06:41:35 CEST 2017  2     31    55      2    1088      00         0    
Fri Sep 01 06:41:36 CEST 2017  2     32    51      2    608      00         0    
Fri Sep 01 06:41:37 CEST 2017  2     33    46      2    664      00         0    
Fri Sep 01 06:41:40 CEST 2017  2     38    50      2    1544      00         0    
Fri Sep 01 06:41:42 CEST 2017  2     31    43      2    1776      00         0    
Fri Sep 01 06:41:44 CEST 2017  1     49    39      2    19336      00         0    
