datetime                     lane speed  length  class   gap   wrong_dir  display  flash
Thu Aug 31 09:10:22 CEST 2017  2     49    41      2    2384      00         0    
Thu Aug 31 09:10:23 CEST 2017  1     61    35      2    15656      00         0    
Thu Aug 31 09:10:26 CEST 2017  2     56    54      2    3040      00         0    
Thu Aug 31 09:10:30 CEST 2017  2     45    34      2    3496      00         0    
Thu Aug 31 09:10:31 CEST 2017  2     44    45      2    664      00         0    
Thu Aug 31 09:10:33 CEST 2017  2     39    76      3    1016      00         0    
Thu Aug 31 09:10:34 CEST 2017  2     39    37      2    784      00         0    
Thu Aug 31 09:10:35 CEST 2017  1     49    40      2    11120      00         0    
Thu Aug 31 09:10:37 CEST 2017  2     42    65      4    2472      00         0    
Thu Aug 31 09:10:40 CEST 2017  2     54    48      2    2344      00         0    
Thu Aug 31 09:10:42 CEST 2017  2     54    49      2    1808      00         0    
Thu Aug 31 09:10:45 CEST 2017  2     52    45      2    2248      00         0    
Thu Aug 31 09:10:48 CEST 2017  2     46    38      2    2456      00         0    
Thu Aug 31 09:10:50 CEST 2017  1     46    41      2    14984      00         0    
Thu Aug 31 09:10:51 CEST 2017  1     46    44      2    960      00         0    
Thu Aug 31 09:10:55 CEST 2017  2     46    49      2    6960      00         0    
Thu Aug 31 09:11:10 CEST 2017  2     49    47      2    14464      00         0    
Thu Aug 31 09:11:12 CEST 2017  2     50    39      2    1488      00         0    
Thu Aug 31 09:11:16 CEST 2017  1     56    39      2    24040      00         0    
Thu Aug 31 09:11:18 CEST 2017  2     62    55      4    5544      00         0    
Thu Aug 31 09:11:27 CEST 2017  1     52    58      4    10840      00         0    
Thu Aug 31 09:11:27 CEST 2017  2     48    45      2    8896      00         0    
Thu Aug 31 09:11:29 CEST 2017  1     46    38      2    1288      00         0    
Thu Aug 31 09:11:30 CEST 2017  2     45  126        5    1600      00         0    
Thu Aug 31 09:11:31 CEST 2017  1     49    46      2    2016      00         0    
Thu Aug 31 09:11:33 CEST 2017  2     40    51      4    1464      00         0    
Thu Aug 31 09:11:34 CEST 2017  2     40    38      2    1248      00         0    
Thu Aug 31 09:11:43 CEST 2017  1     55    49      2    10928      00         0    
Thu Aug 31 09:11:49 CEST 2017  1     56    49      2    5392      00         0    
Thu Aug 31 09:11:53 CEST 2017  1     51    39      2    3560      00         0    
Thu Aug 31 09:11:54 CEST 2017  1     51    41      2    1104      00         0    
Thu Aug 31 09:11:56 CEST 2017  1     50    44      2    1552      00         0    
Thu Aug 31 09:12:05 CEST 2017  2     49    49      2    30448      00         0    
Thu Aug 31 09:12:05 CEST 2017  1     45    57      2    8584      00         0    
Thu Aug 31 09:12:08 CEST 2017  2     48    49      2    2024      00         0    
Thu Aug 31 09:12:09 CEST 2017  2     48    45      2    1048      00         0    
Thu Aug 31 09:12:12 CEST 2017  2     48    43      2    2888      00         0    
Thu Aug 31 09:12:15 CEST 2017  2     44    40      2    1672      00         0    
Thu Aug 31 09:12:17 CEST 2017  2     41    39      2    1664      00         0    
Thu Aug 31 09:12:18 CEST 2017  1     54    50      2    12520      00         0    
Thu Aug 31 09:12:21 CEST 2017  2     60    51      2    3472      00         0    
Thu Aug 31 09:12:22 CEST 2017  1     48    45      2    3016      00         0    
Thu Aug 31 09:12:23 CEST 2017  2     61    65      4    2248      00         0    
Thu Aug 31 09:12:25 CEST 2017  2     51    36      2    1496      00         0    
Thu Aug 31 09:12:26 CEST 2017  1     51    47      2    4032      00         0    
Thu Aug 31 09:12:27 CEST 2017  2     48    47      2    1480      00         0    
Thu Aug 31 09:12:32 CEST 2017  1     50    37      2    4696      00         0    
Thu Aug 31 09:12:36 CEST 2017  1     48    48      2    4464      00         0    
Thu Aug 31 09:12:41 CEST 2017  2     53    43      2    12784      00         0    
Thu Aug 31 09:12:50 CEST 2017  2     56    49      2    9088      00         0    
Thu Aug 31 09:12:58 CEST 2017  2     54    47      2    7328      00         0    
Thu Aug 31 09:13:01 CEST 2017  2     49    43      2    2896      00         0    
Thu Aug 31 09:13:07 CEST 2017  2     53    48      2    5200      00         0    
Thu Aug 31 09:13:07 CEST 2017  1     58    47      2    30152      00         0    
Thu Aug 31 09:13:17 CEST 2017  2     47    42      2    9856      00         0    
Thu Aug 31 09:13:19 CEST 2017  2     48    50      2    1424      00         0    
Thu Aug 31 09:13:23 CEST 2017  2     55    50      2    3232      00         0    
Thu Aug 31 09:13:27 CEST 2017  2     47    47      2    4176      00         0    
Thu Aug 31 09:13:29 CEST 2017  2     47    34      2    1184      00         0    
Thu Aug 31 09:13:30 CEST 2017  2     46    44      2    320      00         0    
Thu Aug 31 09:13:31 CEST 2017  2     44    45      2    928      00         0    
Thu Aug 31 09:13:33 CEST 2017  2     43    42      2    912      00         0    
Thu Aug 31 09:13:35 CEST 2017  2     41    42      2    1680      00         0    
Thu Aug 31 09:13:36 CEST 2017  2     38    48      2    536      00         0    
Thu Aug 31 09:13:37 CEST 2017  2     44    38      2    1112      00         0    
Thu Aug 31 09:13:41 CEST 2017  2     32    82      7    2528      00         0    
Thu Aug 31 09:13:42 CEST 2017  2     32    42      2    600      00         0    
Thu Aug 31 09:13:44 CEST 2017  2     32    41      2    752      00         0    
Thu Aug 31 09:13:50 CEST 2017  1     70    51      2    42688      00         0    
Thu Aug 31 09:14:15 CEST 2017  1     56    73      4    24352      00         0    
Thu Aug 31 09:14:15 CEST 2017  2     46    45      2    30656      00         0    
Thu Aug 31 09:14:16 CEST 2017  2     46    40      2    808      00         0    
Thu Aug 31 09:14:17 CEST 2017  1     52    38      2    1680      00         0    
Thu Aug 31 09:14:18 CEST 2017  2     46    47      2    1280      00         0    
Thu Aug 31 09:14:20 CEST 2017  1     49    43      2    2160      00         0    
Thu Aug 31 09:14:21 CEST 2017  2     47    50      2    2776      00         0    
Thu Aug 31 09:14:23 CEST 2017  2     44    58      4    1472      00         0    
Thu Aug 31 09:14:25 CEST 2017  2     45    52      2    792      00         0    
Thu Aug 31 09:14:28 CEST 2017  2     37    80      3    2200      00         0    
Thu Aug 31 09:14:29 CEST 2017  2     34    49      2    512      00         0    
Thu Aug 31 09:14:31 CEST 2017  2     32    44      2    1040      00         0    
Sat Sep 02 02:00:09 CEST 2017  2     54    51      2    24592      00         0    
Sat Sep 02 02:01:13 CEST 2017  1     48    41      2    65535      00         0    
Sat Sep 02 02:01:46 CEST 2017  2     53    47      2    65535      00         0    
Sat Sep 02 02:02:12 CEST 2017  2     45    49      2    25400      00         0    
Sat Sep 02 02:02:29 CEST 2017  1     50    40      2    65535      00         0    
Sat Sep 02 05:10:00 CEST 2017  2     51    41      2    65535      00         0    
Sat Sep 02 05:10:02 CEST 2017  2     52    39      2    1728      00         0    
Sat Sep 02 05:10:12 CEST 2017  2     52    52      2    10000      00         0    
Thu Aug 31 23:40:04 CEST 2017  1     54    44      2    39448      00         0    
Thu Aug 31 23:40:05 CEST 2017  2     54    41      2    21040      00         0    
Thu Aug 31 23:40:19 CEST 2017  2     62    41      2    13480      00         0    
Thu Aug 31 23:40:24 CEST 2017  2     51    49      2    3792      00         0    
Thu Aug 31 23:40:30 CEST 2017  2     57    44      2    6032      00         0    
Thu Aug 31 23:40:41 CEST 2017  1     57    41      2    36384      00         0    
Thu Aug 31 23:40:49 CEST 2017  2     48    45      2    18136      00         0    
Thu Aug 31 23:40:58 CEST 2017  2     59    51      2    9608      00         0    
Thu Aug 31 23:41:01 CEST 2017  1     50    40      2    19312      00         0    
Thu Aug 31 23:41:23 CEST 2017  1     50    38      2    21600      00         0    
Thu Aug 31 10:50:00 CEST 2017  1     50    53      2    2848      00         0    
Thu Aug 31 10:50:03 CEST 2017  1     52    43      2    2288      00         0    
Thu Aug 31 10:50:06 CEST 2017  1     50    51      2    1848      00         0    
Thu Aug 31 10:50:10 CEST 2017  1     57    51      2    3968      00         0    
Thu Aug 31 10:50:14 CEST 2017  1     49    57      4    3200      00         0    
Thu Aug 31 10:50:15 CEST 2017  2     47    42      2    16152      00         0    
Thu Aug 31 10:50:16 CEST 2017  1     48    38      2    1936      00         0    
Thu Aug 31 10:50:18 CEST 2017  2     51    54      2    2424      00         0    
Thu Aug 31 10:50:19 CEST 2017  1     47    54      2    2336      00         0    
Thu Aug 31 10:50:24 CEST 2017  1     50    58      4    4584      00         0    
Thu Aug 31 10:50:25 CEST 2017  1     48    40      2    536      00         0    
Thu Aug 31 10:50:38 CEST 2017  2     45    45      2    19288      00         0    
Thu Aug 31 10:50:42 CEST 2017  2     43    47      2    2960      00         0    
Thu Aug 31 10:50:46 CEST 2017  2     45    39      2    3712      00         0    
Thu Aug 31 10:50:48 CEST 2017  2     40    46      2    1848      00         0    
Thu Aug 31 10:50:50 CEST 2017  2     42    42      2    1448      00         0    
Thu Aug 31 10:50:50 CEST 2017  1     54    71      4    24776      00         0    
Thu Aug 31 10:50:53 CEST 2017  2     49    47      2    2144      00         0    
Thu Aug 31 10:50:54 CEST 2017  2     46    41      2    896      00         0    
Thu Aug 31 10:50:56 CEST 2017  2     43    47      2    1696      00         0    
Thu Aug 31 10:50:58 CEST 2017  2     38    45      2    992      00         0    
Thu Aug 31 10:50:59 CEST 2017  2     36    47      2    592      00         0    
Thu Aug 31 10:50:59 CEST 2017  1     60    48      2    8528      00         0    
Thu Aug 31 10:51:02 CEST 2017  2     33    45      2    1864      00         0    
Thu Aug 31 10:51:03 CEST 2017  2     31    49      2    624      00         0    
Thu Aug 31 10:51:05 CEST 2017  2     29    41      2    856      00         0    
Thu Aug 31 10:51:06 CEST 2017  2     26    39      2    520      00         0    
Thu Aug 31 10:51:09 CEST 2017  2     26    41      2    1896      00         0    
Thu Aug 31 10:51:11 CEST 2017  1     47    50      2    11248      00         0    
Thu Aug 31 10:51:13 CEST 2017  2     36    46      2    3496      00         0    
Thu Aug 31 10:51:15 CEST 2017  2     36    48      4    1904      00         0    
Thu Aug 31 10:51:18 CEST 2017  2     40    41      2    2448      00         0    
Thu Aug 31 10:51:19 CEST 2017  1     45    38      2    7488      00         0    
Thu Aug 31 10:51:23 CEST 2017  1     47    39      2    3256      00         0    
Thu Aug 31 10:51:33 CEST 2017  1     50    55      2    9240      00         0    
Thu Aug 31 10:51:36 CEST 2017  1     54    41      2    3528      00         0    
Thu Aug 31 10:51:38 CEST 2017  1     53    52      2    1240      00         0    
Thu Aug 31 10:51:45 CEST 2017  2     45    74      3    25872      00         0    
Thu Aug 31 10:51:47 CEST 2017  2     45    45      2    1696      00         0    
Thu Aug 31 10:51:48 CEST 2017  1     51    39      2    9920      00         0    
Thu Aug 31 10:51:49 CEST 2017  2     47    48      2    1416      00         0    
Thu Aug 31 10:51:50 CEST 2017  1     54    49      2    1008      00         0    
Thu Aug 31 10:51:50 CEST 2017  2     49    51      2    736      00         0    
Thu Aug 31 10:51:53 CEST 2017  2     48    47      2    2344      00         0    
Thu Aug 31 10:52:07 CEST 2017  2     56    48      2    13424      00         0    
Thu Aug 31 10:52:09 CEST 2017  2     50    35      2    1664      00         0    
Thu Aug 31 10:52:10 CEST 2017  2     49    40      2    776      00         0    
Fri Sep 01 08:30:18 CEST 2017  1     51    41      2    59264      00         0    
Fri Sep 01 08:30:23 CEST 2017  1     58    44      2    4920      00         0    
Fri Sep 01 08:30:23 CEST 2017  2     56    51      2    24088      00         0    
Fri Sep 01 08:30:25 CEST 2017  2     53    41      2    840      00         0    
Fri Sep 01 08:30:26 CEST 2017  2     52    38      2    704      00         0    
Fri Sep 01 08:30:27 CEST 2017  2     52    45      2    1088      00         0    
Fri Sep 01 08:30:29 CEST 2017  2     46    59      4    1080      00         0    
Fri Sep 01 08:30:32 CEST 2017  2     48    54      4    2392      00         0    
Fri Sep 01 08:30:35 CEST 2017  2     42    48      2    2280      00         0    
Fri Sep 01 08:30:40 CEST 2017  2     51    57      2    4816      00         0    
Fri Sep 01 08:30:40 CEST 2017  1     48    57      2    16648      00         0    
Fri Sep 01 08:30:52 CEST 2017  1     48    71      7    11496      00         0    
Fri Sep 01 08:30:55 CEST 2017  2     47    54      2    14600      00         0    
Fri Sep 01 08:30:57 CEST 2017  2     48    45      2    1512      00         0    
Fri Sep 01 08:31:06 CEST 2017  1     49    57      2    13064      00         0    
Fri Sep 01 08:31:09 CEST 2017  1     48    61      4    2248      00         0    
Fri Sep 01 08:31:13 CEST 2017  1     47    50      2    3944      00         0    
Fri Sep 01 08:31:15 CEST 2017  1     45    51      2    880      00         0    
Fri Sep 01 08:31:16 CEST 2017  1     42    42      2    712      00         0    
Fri Sep 01 08:31:28 CEST 2017  2     62    52      2    30320      00         0    
Fri Sep 01 08:31:31 CEST 2017  2     49    46      2    2384      00         0    
Fri Sep 01 08:31:32 CEST 2017  2     55    43      2    928      00         0    
Fri Sep 01 08:31:37 CEST 2017  2     51    52      2    4280      00         0    
Fri Sep 01 08:31:38 CEST 2017  2     52    49      2    936      00         0    
Fri Sep 01 08:31:41 CEST 2017  2     51    50      2    1912      00         0    
Fri Sep 01 08:31:43 CEST 2017  2     47    52      2    1536      00         0    
Fri Sep 01 08:31:45 CEST 2017  2     48    49      2    1624      00         0    
Fri Sep 01 08:31:46 CEST 2017  2     44    49      2    888      00         0    
Fri Sep 01 08:31:50 CEST 2017  2     44    43      2    2608      00         0    
Fri Sep 01 08:31:52 CEST 2017  2     46    49      2    2184      00         0    
Fri Sep 01 08:31:53 CEST 2017  1     65    48      2    36528      00         0    
Fri Sep 01 08:31:56 CEST 2017  2     48    51      2    3536      00         0    
Fri Sep 01 08:31:59 CEST 2017  1     52    50      2    5536      00         0    
Fri Sep 01 08:32:01 CEST 2017  1     51    98      5    1160      00         0    
Fri Sep 01 08:32:01 CEST 2017  2     55    45      2    4400      00         0    
Fri Sep 01 08:32:04 CEST 2017  1     47    47      2    2368      00         0    
Sat Sep 02 18:20:07 CEST 2017  1     46    50      2    30480      00         0    
Sat Sep 02 18:20:10 CEST 2017  1     45    38      2    2312      00         0    
Sat Sep 02 18:20:17 CEST 2017  1     56    43      2    7048      00         0    
Sat Sep 02 18:20:21 CEST 2017  2     55    43      2    22904      00         0    
Sat Sep 02 18:20:22 CEST 2017  2     48    44      2    1136      00         0    
Sat Sep 02 18:20:26 CEST 2017  2     49    51      2    2696      00         0    
Sat Sep 02 18:20:31 CEST 2017  1     50    44      2    12720      00         0    
Sat Sep 02 18:20:35 CEST 2017  1     51    39      2    3584      00         0    
Sat Sep 02 18:20:36 CEST 2017  1     48    46      2    968      00         0    
Sat Sep 02 18:20:42 CEST 2017  1     52    43      2    5152      00         0    
Sat Sep 02 18:21:03 CEST 2017  2     55    45      2    37368      00         0    
Sat Sep 02 18:21:15 CEST 2017  1     51    39      2    33024      00         0    
Sat Sep 02 18:21:16 CEST 2017  1     47    44      2    712      00         0    
Sat Sep 02 18:21:19 CEST 2017  1     57    47      2    2792      00         0    
Sat Sep 02 18:21:23 CEST 2017  2     55    52      2    19688      00         0    
